epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.6743837296820513,0.8177920685959271,0.8873612721550439,0.5384679726442114,0.8260869565217391,0.882229232386961,0.8978805795414793,0.0001,94.33463215827942
2,0.5662911186332216,0.8645498392282959,0.9147482924361244,0.623722786882817,0.8757763975155279,0.9239543726235742,0.9071216545264988,0.0001,92.53057479858398
3,0.5229452360811914,0.87513397642015,0.9212970781962506,0.4459256891603003,0.8726708074534162,0.916919959473151,0.917609651173665,0.0001,92.56489253044128
4,0.47032176749537496,0.8866559485530546,0.92793867120954,0.7431825623803798,0.8711180124223602,0.9189453125,0.8885719629664266,0.0001,92.4865312576294
5,0.4549567796734685,0.8996516613076099,0.9363041074921337,0.46100146243940193,0.9006211180124224,0.9364448857994042,0.9364883915056925,0.0001,92.60952043533325
6,0.4290450308368992,0.9044748124330118,0.9393449595916631,0.4520829650313125,0.8711180124223602,0.9145211122554068,0.9338577331656917,0.0001,92.52781510353088
7,0.39453228971548504,0.9146570203644159,0.9457179377929271,0.47609111749363187,0.8548136645962733,0.9023498694516972,0.9384020698899591,0.0001,92.59447288513184
8,0.355425125467329,0.9256430868167203,0.9526005636689726,0.5067856441290257,0.8913043478260869,0.9307616221562809,0.9259363169397772,0.0001,92.50833773612976
9,0.3378930055018426,0.9314040728831725,0.9562692176289717,0.6723312260797254,0.8680124223602484,0.9165848871442591,0.9076498643972692,0.0001,92.44849467277527
10,0.32249803161762414,0.9328778135048231,0.9571465229663844,0.8402022860598279,0.8703416149068323,0.9175308641975308,0.908425726764827,0.0001,92.49286413192749
11,0.2825158236017145,0.9437299035369775,0.9638740753483571,0.5512013997768178,0.8990683229813664,0.9360865290068829,0.9315613191045717,0.0001,92.45716261863708
12,0.2838967986733635,0.9421221864951769,0.9630453378956373,0.8872835871288941,0.8881987577639752,0.9294809010773751,0.9265857553054785,0.0001,92.44193148612976
