epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.616957649692384,0.770096463022508,0.8684654300168634,0.5785627823137904,0.78027950310559,0.8742780986228343,0.7045038117702478,0.0006695278969957081,106.90812993049622
2,0.6065513883003115,0.7616559485530546,0.8585738134986883,0.5906626328201212,0.7771739130434783,0.8740675734971479,0.7149121439778878,0.000996560956835922,105.9648950099945
3,0.5138900594820742,0.7970257234726688,0.8726355611601513,0.5253860097398738,0.8361801242236024,0.9026303645592986,0.8476417594064654,0.0009695895867602591,251.19831824302673
4,0.43647995495034053,0.8390943193997856,0.897865464750404,0.4092775132551916,0.8555900621118012,0.9096209912536443,0.8733196864684754,0.0009171942462813938,250.6038634777069
5,0.40112365148156853,0.8520900321543409,0.9056248931441272,0.39761073128370894,0.843167701863354,0.8969387755102041,0.8896889969554329,0.0008422116626674727,250.24607515335083
6,0.3631160789013735,0.8709807073954984,0.917303563761271,0.44362344321493286,0.8680124223602484,0.9178743961352657,0.8929864120175539,0.0007487014552974263,251.35093474388123
7,0.3340561188328952,0.8830385852090032,0.9252760421124712,0.3851334410381535,0.8687888198757764,0.9162121963311849,0.901553802937886,0.000641726344494708,251.29406571388245
8,0.30751259524981217,0.8908092175777064,0.9296746915178187,0.4181796843248386,0.8742236024844721,0.9212827988338192,0.903621614694279,0.0005270780516424333,251.4340295791626
9,0.2920418958634729,0.9016613076098606,0.9369957081545064,0.3998070012489988,0.8610248447204969,0.9099144438852541,0.9032111696471559,0.00041096373057542923,251.4658703804016
10,0.26800851429924427,0.9107717041800643,0.9428718476582604,0.39038900139305766,0.8633540372670807,0.9119119119119119,0.9049118322474724,0.0002996699071141728,251.31477880477905
11,0.25800661186592166,0.9172025723472669,0.9468615649183147,0.4156113608176903,0.8687888198757764,0.9156265601597604,0.9045516104339634,0.00019922212133347572,251.4640998840332
12,0.2437527171015017,0.9169346195069668,0.9466069583189803,0.4284341857140513,0.8586956521739131,0.9078947368421053,0.9056530579021929,0.00011505869981628952,251.3308970928192
13,0.23620375243032898,0.9233654876741694,0.9508253094910591,0.4459666631679532,0.8711180124223602,0.9176587301587301,0.9054729469954385,5.173632013386892e-05,251.41793179512024
14,0.2326005455842504,0.9222936763129689,0.9502913952691121,0.452567187478742,0.8687888198757764,0.9162951956414066,0.905091943154227,1.2683308535978322e-05,251.41630935668945
15,0.22347832902902662,0.9257770632368703,0.9524626737600824,0.4552890622139474,0.8687888198757764,0.9162951956414066,0.9051404345521993,0.0,251.44753456115723
