run_name,model,test_loss,test_acc,test_f1,test_auc,best_val_auc,num_epochs,batch_size,num_frames,img_size,temporal_sampling,clip_period,ef_threshold,lr,backbone_lr,weight_decay,dropout,grad_clip,grad_accum_steps,warmup_frac,freeze_epochs,pretrained,total_runtime_sec,augment
r3d_64f_112px_clipp1_pretrained,r3d,0.5013630123166827,0.8739232576350823,0.917138445702522,0.9342317487266554,0.9369265459230858,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,9848.53044295311,
r3d_64f_112px_clipp1_pretrained_seed123,r3d,0.4210453693264149,0.87548942834769,0.9186700767263428,0.9303480475382004,0.9338230964528542,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1123.491203069687,
r3d_64f_112px_clipp1_pretrained_seed2024,r3d,0.5137337481679102,0.889584964761159,0.928462709284627,0.93604272778721,0.937026992390314,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1116.9291639328003,
r3d_64f_112px_clipp1_pretrained_seed1,r3d,0.6673011765879132,0.8778386844166014,0.922233300099701,0.9150926711941144,0.9228761633605924,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1128.638300895691,False
r3d_64f_112px_clipp1_pretrained_seed2,r3d,0.532448627304501,0.8817541111981206,0.9220443985544656,0.9341822297679684,0.9370616291031516,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1117.9598741531372,False
r3d_64f_112px_clipp1_pretrained_seed3,r3d,0.3753052835302397,0.8903680501174628,0.929364278506559,0.9256755800792302,0.9313119347721424,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1121.7641644477844,False
r3d_64f_112px_clipp1_pretrained_seed4,r3d,0.5809392908853063,0.8841033672670321,0.9247967479674796,0.9371922750424448,0.9377699498806764,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1124.2263112068176,False
r3d_64f_112px_clipp1_pretrained_seed5,r3d,0.4819733231239452,0.8778386844166014,0.9214501510574018,0.9281196943972836,0.939271451382178,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1132.3579907417295,False
r3d_64f_112px_clipp1_pretrained_seed6,r3d,0.5447192996606423,0.8911511354737667,0.930115635997989,0.9269489247311828,0.9365593967670092,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1120.7555477619171,False
r3d_64f_112px_clipp1_pretrained_seed7,r3d,0.5390411477325194,0.874706342991386,0.917184265010352,0.9315117430673456,0.9298398744765526,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1128.927345275879,False
r3d_64f_112px_clipp1_pretrained_seed8,r3d,0.5066208486593297,0.8645262333594361,0.9093766369827134,0.930659309564233,0.9384020698899592,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1120.250136137009,False
r3d_64f_112px_clipp1_pretrained_seed9,r3d,0.4620645607490903,0.8809710258418167,0.9215686274509804,0.9379704301075268,0.9371205115149752,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1119.2108285427094,False
