epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.5401460996986793,0.7666130760986066,0.8410583941605839,0.4910941405325943,0.7717391304347826,0.8386388583973655,0.861834152491592,0.0001,44.918946266174316
2,0.4301416934135371,0.8453912111468381,0.8977856510186005,0.4105880050833181,0.8167701863354038,0.8752642706131079,0.8911402752233202,0.0001,42.16822409629822
3,0.372307135315446,0.8633440514469454,0.9095423909187655,0.49324205651971864,0.7305900621118012,0.7967193907439953,0.8926157991901936,0.0001,42.298534631729126
4,0.3282025452196718,0.8814308681672026,0.9216051023119851,0.42848771063159713,0.8555900621118012,0.9061553985872856,0.891289213088521,0.0001,42.326974391937256
5,0.283523995263099,0.8936227224008575,0.9294849023090587,0.3940614159710659,0.8470496894409938,0.8979803210771621,0.9044615549805861,0.0001,42.168644428253174
6,0.21773763125524054,0.9197481243301179,0.9471081677704194,0.4756936848811481,0.8470496894409938,0.8996434029546613,0.8875726938010675,0.0001,42.247846364974976
7,0.1767831048110409,0.937433011789925,0.9589016984951158,0.4953150066217373,0.8299689440993789,0.8854003139717426,0.8927404913564083,0.0001,42.100648164749146
8,0.15846078071720793,0.9445337620578779,0.9637605042016807,0.534370322648135,0.8027950310559007,0.8628509719222462,0.8881615179193034,0.0001,42.48296856880188
9,0.13035351283054822,0.9556538049303323,0.9710689625032777,0.6251098837085959,0.8354037267080745,0.8892371995820272,0.8876523582405934,0.0001,42.23221468925476
10,0.1070118577920065,0.9611468381564845,0.9746503496503497,0.8215249424239169,0.8571428571428571,0.9090909090909091,0.8829140559244366,0.0001,42.200490951538086
11,0.0865946589004715,0.9714630225080386,0.9814734278507437,0.7207306348530703,0.8462732919254659,0.898876404494382,0.8817710444008023,0.0001,42.05231261253357
12,0.09374178124402076,0.9705251875669882,0.9808529155787642,0.6061424041161116,0.8330745341614907,0.8901379662749106,0.8818489770046865,0.0001,42.41906499862671
13,0.06956857976292205,0.9770900321543409,0.9851317276758542,0.8632076874517066,0.8610248447204969,0.9108121574489287,0.8846701372652929,0.0001,42.268694162368774
14,0.06761896059940689,0.9778938906752411,0.9856609020596159,1.2192663936248491,0.8625776397515528,0.9149447381066795,0.8640941980042325,0.0001,42.27270531654358
15,0.06619967313301522,0.9772240085744909,0.9852379298367488,1.0583989594969754,0.8664596273291926,0.9151873767258383,0.8706128273602322,0.0001,42.05432653427124
