epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.578142167826427,0.7682207931404073,0.8500086700190741,0.5859219965218387,0.7531055900621118,0.8245033112582781,0.805923570629453,0.0001,45.153438329696655
2,0.46449195670945803,0.8354769560557342,0.8939001209607742,0.43908561564843107,0.8237577639751553,0.8820779220779221,0.8733751052090153,0.0001,42.251704454422
3,0.4218517088502825,0.8490085744908896,0.9020766356764272,0.452776346037523,0.8563664596273292,0.9096238397655105,0.8747016913106879,0.0001,41.977041721343994
4,0.4061912646268888,0.8569131832797428,0.9071627260083449,0.41365936081509413,0.84472049689441,0.8979591836734694,0.8886464318990269,0.0001,42.15093922615051
5,0.3676820344040239,0.8727224008574491,0.917319408181027,0.3922567723307365,0.859472049689441,0.9082615306639635,0.8986218051961996,0.0001,42.04907250404358
6,0.354005197954613,0.8727224008574491,0.9165495432185523,0.44342232445798674,0.7593167701863354,0.8258426966292135,0.8894465399655711,0.0001,42.26054239273071
7,0.30991211023383786,0.8851822079314041,0.924606316530307,0.4311851370292976,0.860248447204969,0.9100899100899101,0.8829902566926788,0.0001,42.305935859680176
8,0.29545497899776485,0.8913451232583065,0.9287909386249891,0.37837001315740326,0.8625776397515528,0.9110999497739829,0.9059578609751621,0.0001,41.960628509521484
9,0.2612857584738624,0.9078242229367631,0.9396597088230135,0.37989845456879423,0.8625776397515528,0.9095554420030659,0.9076204231913574,0.0001,42.00951170921326
10,0.2299055947844196,0.9194801714898178,0.9473130533882703,0.5229081608592214,0.8672360248447205,0.9178279673234022,0.8807042336454102,0.0001,42.06677556037903
11,0.2110509772276617,0.9263129689174705,0.951889433170049,0.3997108837942483,0.828416149068323,0.8836229594523434,0.8947736663999639,0.0001,42.10691499710083
12,0.18768222517192323,0.9391747052518756,0.9603770291499389,0.4633729098529572,0.8548136645962733,0.9049313675648195,0.8871847626172885,0.0001,42.0251350402832
13,0.16304718762850146,0.9438638799571275,0.963313194991682,0.5064541400418912,0.8742236024844721,0.9211295034079844,0.9017876007495387,0.0001,42.27297115325928
14,0.1439600258782426,0.9532422293676313,0.9696548126249891,0.5767721863917613,0.8610248447204969,0.912039312039312,0.8888022971067955,0.0001,41.980045318603516
15,0.13652230739179932,0.9563236870310825,0.9715631542219121,0.5230980439839006,0.8548136645962733,0.9048346055979644,0.8928686471939067,0.0001,42.08044123649597
